Player:,Team:,Cost:,Tier(s):,Record:,Week 1:,Week 2:,Week 3:,Week 4:,Week 5:,Week 6:,Week 7:,Week 8:,Week 9:,Semis:,Final:,SORTER
azogue,Tigers,6500,SM OU,1 - 3 - 0,L vs Lednah (SM OU),W vs Snou (SM OU),,L vs Gondra (SM OU),,,,,L vs Leftiez (SM OU),,,97.065
New Breed,Cryonicles,6000,SM RU,1 - 3 - 0,W vs Feliburn (SM RU),L vs Eternal Spirit (SM RU),L vs Tricking (SM RU),L vs soulgazer (SM RU),,,,,,,,97.06
Earthworm,Tyrants,6000,RBY OU,1 - 3 - 0,,,,,L vs Diegolh (RBY OU),W vs MetalGro$$ (RBY OU),L vs GGFan (RBY OU),L vs Peasounay (RBY OU),,,,97.06
Empo,Ruiners,4000,SM OU / ORAS OU,1 - 3 - 0,,,W vs z0mOG (SM OU),L vs Znain (ORAS OU),,L vs Snou (SM OU),L vs Eternal Spirit (SM OU),,,,,97.04
Axel,Sharks,19500,SM OU / ORAS OU,1 - 4 - 0,L vs Nintendi (ORAS OU),W vs Znain (ORAS OU),L vs CrashinBoomBang (ORAS OU),L vs xray (ORAS OU),,L vs Trosko (SM OU),,,,,,96.195
Snou,Cryonicles,6500,SM OU / DPP OU,1 - 4 - 0,L vs Obliviate (SM OU),L vs azogue (SM OU),,,,W vs Empo (SM OU),,L vs The Goomy (SM OU),L vs d0nut (DPP OU),,,96.065
Tiba,Ruiners,6000,GSC OU,1 - 4 - 0,,,,,L vs Mr.E (GSC OU),L vs sulcata (GSC OU),W vs Century Express (GSC OU),L vs giara (GSC OU),L vs Pleasure (GSC OU),,,96.06
CALLOUS,Tigers,4000,ADV OU,1 - 4 - 0,L vs Kevin Garrett (ADV OU),W vs danilo (ADV OU),L vs Astamatitos (ADV OU),L vs Jirachee (ADV OU),L vs UD (ADV OU),,,,,,,96.04
Eternally,Scooters,9500,SM NU,1 - 5 - 0,L vs ict (SM NU),W vs Earth (SM NU),L vs Zukushiku (SM NU),L vs cb jose altuve (SM NU),L vs Teddeh (SM NU),L vs Pohjis (SM NU),,,,,,95.095
Hootie,Tigers,9500,SM NU,1 - 5 - 0,L vs Teddeh (SM NU),L vs ict (SM NU),W vs Earth (SM NU),L vs -Tsunami- (SM NU),,,,L vs Pohjis (SM NU),L vs elodin (SM NU),,,95.095
Go10,Scooters,3000,DPP OU / BW OU,1 - 5 - 0,,,L vs roscoe (DPP OU),L vs Bluewind (DPP OU),L vs Deluks917 (BW OU),,W vs Posho (BW OU),L vs ZoroDark (BW OU),L vs Tamahome (DPP OU),,,95.03
Gilbert arenas,Ruiners / (sold),7000,GSC OU,0 - 1 - 0,,,,L vs Jimmy Turtwig (GSC OU),,,,,,,,-0.93
Will of Fire,Tyrants,6000,SM OU,0 - 1 - 0,,,,,,,,,L vs soulgazer (SM OU),,,-0.94
Mazinger,BIGs / (sold),5500,SM OU,0 - 1 - 0,,L vs psychicmewtwo (SM OU),,,,,,,,,,-0.945
Braverius,Raiders / (sold),5500,SM DOU,0 - 1 - 0,L vs Jhon (SM DOU),,,,,,,,,,,-0.945
Hot N Cold,BIGs,3500,ADV OU,0 - 1 - 0,,,,L vs Kevin Garrett (ADV OU),,,,,,,,-0.965
Destiny Device,Ruiners,3000,ORAS OU,0 - 1 - 0,,,,,,,L vs Nintendi (ORAS OU),,,,,-0.97
Energy,Sharks,3000,BW OU,0 - 1 - 0,,,,,,L vs SoulWind (BW OU),,,,,,-0.97
Lunar.,Tyrants,3000,SM DOU,0 - 1 - 0,,,,,,,,,L vs marilli (SM DOU),,,-0.97
Tobes,Tyrants,3000,RBY OU,0 - 1 - 0,,,,,,,,,L vs Nails (RBY OU),,,-0.97
Fakes,Wolfpack,3000,DPP OU,0 - 1 - 0,,,,,L vs roscoe (DPP OU),,,,,,,-0.97
snagaa,Ruiners,4000,SM NU,0 - 2 - 0,L vs Earth (SM NU),L vs Zukushiku (SM NU),,,,,,,,,,-1.96
jacob,Ruiners,3000,BW OU,0 - 2 - 0,,,L vs dice (BW OU),,L vs Posho (BW OU),,,,,,,-1.97
Analytic,Tyrants,3000,RBY OU / SM OU,0 - 2 - 0,,,,L vs Alexander. (RBY OU),,,,,L vs Trosko (SM OU),,,-1.97
badabing,Tyrants / (sold),3000,RBY OU,0 - 2 - 0,L vs Lusch (RBY OU),L vs marcoasd (RBY OU),,,,,,,,,,-1.97
idiotfrommars,Ruiners / (sold),12000,GSC OU,0 - 3 - 0,L vs Fear (GSC OU),L vs choolio (GSC OU),L vs Lavos (GSC OU),,,,,,,,,-2.88
Exiline,Sharks,3000,ORAS OU / RBY OU,0 - 3 - 0,,,,,L vs Alexander. (RBY OU),L vs Updated Kanto (ORAS OU),L vs blunder (ORAS OU),,,,,-2.97
Cynde,Wolfpack,3000,SM UU,0 - 4 - 0,L vs Bushtush (SM UU),L vs Lycans (SM UU),L vs A Hero's Destiny (SM UU),,,,,,L vs Christo (SM UU),,,-3.97
